Division,Week,Date,Home Team,Away Team
Division 1,1,2023-09-07 08:00 PM,Club 1,Club 2
Division 1,1,2023-09-07 08:00 PM,Club 3,Club 4
Division 1,1,2023-09-07 08:00 PM,Club 4,Club 5
Division 1,1,2023-09-07 08:00 PM,Club 6,Club 7
Division 1,1,2023-09-07 08:00 PM,Club 6,Club 8
Division 1,1,2023-09-07 08:00 PM,Club 6,Club 9
Division 1,2,2023-09-14 08:00 PM,Club 1,Club 2
Division 1,2,2023-09-14 08:00 PM,Club 3,Club 4
Division 1,2,2023-09-14 08:00 PM,Club 4,Club 5
Division 1,2,2023-09-14 08:00 PM,Club 6,Club 7
Division 1,2,2023-09-14 08:00 PM,Club 6,Club 8
Division 1,2,2023-09-14 08:00 PM,Club 6,Club 9
Division 1,3,2023-09-21 08:00 PM,Club 1,Club 2
Division 1,3,2023-09-21 08:00 PM,Club 3,Club 4
Division 1,3,2023-09-21 08:00 PM,Club 4,Club 5
Division 1,3,2023-09-21 08:00 PM,Club 6,Club 7
Division 1,3,2023-09-21 08:00 PM,Club 6,Club 8
Division 1,3,2023-09-21 08:00 PM,Club 6,Club 9
Division 1,4,2023-09-28 08:00 PM,Club 1,Club 2
Division 1,4,2023-09-28 08:00 PM,Club 3,Club 4
Division 1,4,2023-09-28 08:00 PM,Club 4,Club 5
Division 1,4,2023-09-28 08:00 PM,Club 6,Club 7
Division 1,4,2023-09-28 08:00 PM,Club 6,Club 8
Division 1,4,2023-09-28 08:00 PM,Club 6,Club 9
Division 1,5,2023-10-05 08:00 PM,Club 1,Club 2
Division 1,5,2023-10-05 08:00 PM,Club 3,Club 4
Division 1,5,2023-10-05 08:00 PM,Club 4,Club 5
Division 1,5,2023-10-05 08:00 PM,Club 6,Club 7
Division 1,5,2023-10-05 08:00 PM,Club 6,Club 8
Division 1,5,2023-10-05 08:00 PM,Club 6,Club 9
Division 1,6,2023-10-12 08:00 PM,Club 1,Club 2
Division 1,6,2023-10-12 08:00 PM,Club 3,Club 4
Division 1,6,2023-10-12 08:00 PM,Club 4,Club 5
Division 1,6,2023-10-12 08:00 PM,Club 6,Club 7
Division 1,6,2023-10-12 08:00 PM,Club 6,Club 8
Division 1,6,2023-10-12 08:00 PM,Club 6,Club 9
Division 1,7,2023-10-19 08:00 PM,Club 1,Club 2
Division 1,7,2023-10-19 08:00 PM,Club 3,Club 4
Division 1,7,2023-10-19 08:00 PM,Club 4,Club 5
Division 1,7,2023-10-19 08:00 PM,Club 6,Club 7
Division 1,7,2023-10-19 08:00 PM,Club 6,Club 8
Division 1,7,2023-10-19 08:00 PM,Club 6,Club 9
Division 1,8,2023-10-26 08:00 PM,Club 1,Club 2
Division 1,8,2023-10-26 08:00 PM,Club 3,Club 4
Division 1,8,2023-10-26 08:00 PM,Club 4,Club 5
Division 1,8,2023-10-26 08:00 PM,Club 6,Club 7
Division 1,8,2023-10-26 08:00 PM,Club 6,Club 8
Division 1,8,2023-10-26 08:00 PM,Club 6,Club 9
Division 1,9,2023-11-02 08:00 PM,Club 1,Club 2
Division 1,9,2023-11-02 08:00 PM,Club 3,Club 4
Division 1,9,2023-11-02 08:00 PM,Club 4,Club 5
Division 1,9,2023-11-02 08:00 PM,Club 6,Club 7
Division 1,9,2023-11-02 08:00 PM,Club 6,Club 8
Division 1,9,2023-11-02 08:00 PM,Club 6,Club 9
Division 1,10,2023-11-09 08:00 PM,Club 1,Club 2
Division 1,10,2023-11-09 08:00 PM,Club 3,Club 4
Division 1,10,2023-11-09 08:00 PM,Club 4,Club 5
Division 1,10,2023-11-09 08:00 PM,Club 6,Club 7
Division 1,10,2023-11-09 08:00 PM,Club 6,Club 8
Division 1,10,2023-11-09 08:00 PM,Club 6,Club 9
Division 1,11,2023-11-16 08:00 PM,Club 1,Club 2
Division 1,11,2023-11-16 08:00 PM,Club 3,Club 4
Division 1,11,2023-11-16 08:00 PM,Club 4,Club 5
Division 1,11,2023-11-16 08:00 PM,Club 6,Club 7
Division 1,11,2023-11-16 08:00 PM,Club 6,Club 8
Division 1,11,2023-11-16 08:00 PM,Club 6,Club 9
Division 1,12,2023-11-23 08:00 PM,Club 1,Club 2
Division 1,12,2023-11-23 08:00 PM,Club 3,Club 4
Division 1,12,2023-11-23 08:00 PM,Club 4,Club 5
Division 1,12,2023-11-23 08:00 PM,Club 6,Club 7
Division 1,12,2023-11-23 08:00 PM,Club 6,Club 8
Division 1,12,2023-11-23 08:00 PM,Club 6,Club 9
Division 1,13,2023-11-30 08:00 PM,Club 1,Club 2
Division 1,13,2023-11-30 08:00 PM,Club 3,Club 4
Division 1,13,2023-11-30 08:00 PM,Club 4,Club 5
Division 1,13,2023-11-30 08:00 PM,Club 6,Club 7
Division 1,13,2023-11-30 08:00 PM,Club 6,Club 8
Division 1,13,2023-11-30 08:00 PM,Club 6,Club 9
Division 1,14,2023-12-07 08:00 PM,Club 1,Club 2
Division 1,14,2023-12-07 08:00 PM,Club 3,Club 4
Division 1,14,2023-12-07 08:00 PM,Club 4,Club 5
Division 1,14,2023-12-07 08:00 PM,Club 6,Club 7
Division 1,14,2023-12-07 08:00 PM,Club 6,Club 8
Division 1,14,2023-12-07 08:00 PM,Club 6,Club 9
Division 1,15,2024-01-25 08:00 PM,Club 1,Club 2
Division 1,15,2024-01-25 08:00 PM,Club 3,Club 4
Division 1,15,2024-01-25 08:00 PM,Club 4,Club 5
Division 1,15,2024-01-25 08:00 PM,Club 6,Club 7
Division 1,15,2024-01-25 08:00 PM,Club 6,Club 8
Division 1,15,2024-01-25 08:00 PM,Club 6,Club 9
Division 1,16,2024-02-01 08:00 PM,Club 1,Club 2
Division 1,16,2024-02-01 08:00 PM,Club 3,Club 4
Division 1,16,2024-02-01 08:00 PM,Club 4,Club 5
Division 1,16,2024-02-01 08:00 PM,Club 6,Club 7
